"TAZ","access_general_sov_attr","access_nearby_sov_attr","access_walk_attr","access_transit_attr","access_employment_sov_attr","access_general_sov","access_nearby_sov","access_walk","access_transit","access_employment_sov"
1077,777.4,175.4,0.990197,777.4,100,11.6255,7.77619,0.00,0.00,11.0578
1078,561.8,142,0.976577,561.8,21,11.6396,7.81177,0.00,0.00,11.0603
1079,591.2,155,1.20198,591.2,2,11.4831,7.69671,0.617548,1.33785,10.9431
1080,2322.90,193.7,2.18709,2322.90,43,11.5044,7.75408,0.917847,1.31755,10.9588
1101,3365.90,691.6,1.67701,3365.90,578,12.6046,9.48614,1.05683,2.80102,11.6199
1102,1549.00,257.4,1.9433,1549.00,170,12.5537,9.59696,1.62003,1.97028,11.5803
1103,2488.00,556.7,1.70449,2488.00,254,12.4848,9.53768,2.00134,1.87725,11.5382
1104,18.8,4.4,0.0185341,18.8,2,12.354,8.91342,0.00,1.32889,11.515
1105,1067.40,276.6,2.21417,1067.40,15,12.4733,9.36344,1.65613,1.83655,11.5214
1106,231.9,53.9,0.32139,231.9,21,12.4543,9.19298,0.503027,2.02771,11.5497
1107,829.6,213.2,1.711,829.6,16,12.508,9.59601,2.13928,1.56541,11.5363
1108,772.9,198.1,1.44368,772.9,15,12.3275,9.07372,1.56964,1.05978,11.4648
1109,5128.90,1110.10,0.196576,5128.90,393,12.4877,9.38192,1.91957,1.76176,11.5401
1110,735.3,193.5,1.64949,735.3,0.00,12.4745,9.33264,1.87342,1.28411,11.5279
1111,1172.50,294.2,2.07261,1172.50,45,12.3733,9.18667,1.79637,0.687924,11.4761
1112,1230.50,318.6,2.44847,1230.50,19,12.409,9.21919,1.6494,0.705631,11.4899
1113,224,48,0.00,224,40,12.3164,8.889,0.00,0.765657,11.4808
1114,0.00,0.00,0.00,0.00,0.00,12.0151,8.39856,0.00,0.00,11.3011
1115,1753.40,447.4,3.34732,1753.40,47,12.3563,9.12115,1.59271,1.16246,11.4784
1116,37.4,8.2,0.0097422,37.4,6,12.0361,8.38255,0.00,0.00,11.3424
1117,704.3,6.1,0.207385,704.3,3,12.0636,8.48867,0.00,0.00,11.3277
1118,762.2,172.2,0.427351,762.2,47,12.1006,8.5926,0.629533,0.00,11.3548
1119,1569.90,375.8,1.94295,1569.90,132,11.9391,8.36427,0.47107,0.00,11.2705
1120,0.00,0.00,0.00,0.00,0.00,11.8217,8.0757,0.00,0.00,11.2039
1121,0.00,0.00,0.00,0.00,0.00,11.6143,7.74587,0.00,0.00,11.0898
1122,0.00,0.00,0.00,0.00,0.00,12.1381,8.59945,0.00,0.00,11.371
1123,275.6,50.2,0.00,275.6,78,11.7412,7.91819,0.00,0.00,11.1749
1124,1370.00,233.6,1.28435,1370.00,107,12.0513,8.43382,0.00,0.00,11.3462
1125,0.00,0.00,0.00,0.00,0.00,12.0138,8.39772,0.00,0.00,11.3016
1126,1177.40,300.7,2.12606,1177.40,33,11.9165,8.28821,0.108821,0.00,11.2731
1127,0.00,0.00,0.00,0.00,0.00,11.5094,7.59044,0.00,0.00,11.0331
1128,24.7,6.5,0.0500464,24.7,0.00,11.609,7.74596,0.00,0.00,11.0905
1129,0.00,0.00,0.00,0.00,0.00,11.9651,8.46576,0.535214,0.293733,11.246
1130,1.9,0.5,0.0038773,1.9,0.00,11.8053,8.14413,0.00,0.00,11.1705
1131,10.5,2.2,0.00506686,10.5,2,11.5817,7.92946,0.00,0.00,11.0137
1201,380.5,98.2,0.734451,380.5,3,12.6554,10.3462,2.40617,2.93045,11.5535
